customer_id,full_name,email,birth_date,created_at
1,Cody Harrison,crystal34@gmail.com,1994-07-23,2024-06-11T22:15:58
2,Samantha Johnson,shicks@baldwin.com,1994-07-28,2022-02-10T09:19:59
3,Jodi Fisher,jonestravis@stephens.biz,1986-12-21,2023-04-08T16:54:28
4,Stephanie Alvarado,tjohnson@yahoo.com,1988-08-27,2022-09-04T18:25:32
5,Katherine Smith,anthony39@sawyer.com,1950-09-12,2025-03-12T04:45:13
6,Tammy Mcdaniel,amyers@brennan.com,1968-01-07,2020-07-15T07:26:53
7,David Herrera,kcollins@harvey.com,1974-04-30,2020-07-06T02:56:45
8,Grace Williams,cynthiahudson@hotmail.com,1963-05-30,2024-04-20T19:19:22
9,Elizabeth Sims,lorikennedy@hotmail.com,1955-07-29,2021-03-20T09:28:22
10,Melissa Johnson,cody82@black.com,1990-02-18,2025-01-07T20:42:05
11,John Watson,xwilliams@ruiz.com,1957-06-15,2021-04-06T13:00:20
12,Heidi Roy,lauren61@bailey.info,1996-01-06,2021-07-02T09:01:55
13,Calvin Holland,rangeltimothy@black.com,1966-04-18,2022-04-25T04:20:44
14,Matthew Chen,nicholsgreg@yahoo.com,1964-08-14,2024-10-21T11:48:40
15,Lisa Lee,jessica02@yahoo.com,1990-08-05,2020-07-09T05:18:41
16,Erin Graham,cruzanthony@yahoo.com,1972-02-23,2021-11-09T13:45:47
17,Carla Peterson,jennifer73@yahoo.com,1976-09-17,2025-06-28T01:21:51
18,Yolanda Wright,nicholascruz@campbell.info,1976-02-06,2021-12-23T06:57:56
19,Colleen West,rnixon@nash.com,1993-09-28,2024-03-27T06:11:31
20,Mrs. Sabrina Phillips,odavis@yahoo.com,1964-12-10,2023-04-11T20:57:15
21,Richard Roberts,shannon74@walters.net,1957-02-15,2020-11-17T06:21:02
22,Daniel Johnson,jenniferreyes@riley-hernandez.com,1952-02-06,2024-06-25T15:24:41
23,Megan Kelly,stephenserica@hotmail.com,1961-09-04,2022-05-22T17:41:49
24,Dawn Stein,eduardo77@richard.com,1970-02-17,2022-12-11T02:33:00
25,Veronica Walters,millerstephanie@moreno.com,1950-05-03,2020-10-23T01:35:20
26,Linda Cruz,zacharypeterson@higgins.com,1942-11-17,2021-02-05T16:48:39
27,Don Hendricks,aaron18@hotmail.com,1945-07-26,2023-08-15T19:06:13
28,Jennifer Flores,paige84@hotmail.com,1980-11-04,2023-12-26T10:37:36
29,David Brady,uchang@yahoo.com,1999-05-19,2023-09-06T21:33:37
30,Laura Hughes,lkelly@yahoo.com,1955-02-23,2023-08-21T09:24:04
31,Samantha Pruitt,anthonyreyes@hernandez-reynolds.com,1994-12-20,2022-06-19T20:30:16
32,Jeremy Park,jaymontoya@doyle-adams.biz,1978-09-02,2022-07-28T21:59:39
33,Brittany Burton,crosbymichelle@stevens-mack.com,1955-02-09,2024-02-07T00:33:46
34,Scott Henry,timothy31@howe.com,1950-09-02,2020-07-08T19:11:21
35,Brittany Brown,melissaaustin@hotmail.com,1949-08-24,2023-12-26T20:47:39
36,Courtney Newton,amyrodriguez@hotmail.com,1963-01-04,2022-08-04T16:00:08
37,James Scott,travissamuel@hotmail.com,1994-05-18,2022-06-20T11:50:38
38,Ms. Angela Burns,michaelbradley@hotmail.com,2002-04-23,2025-01-21T13:50:04
39,Karen Davies,kimjennifer@chavez-faulkner.com,1943-11-11,2024-04-04T19:26:58
40,Wanda Mcdonald,michaelcortez@yahoo.com,1953-09-02,2021-12-12T20:21:41
41,Matthew Taylor,joycefrancis@gmail.com,2005-01-05,2023-04-17T06:01:46
42,Mary Bishop,catherine86@gmail.com,1950-04-19,2021-04-12T11:30:55
43,Heather Hernandez,judy16@yahoo.com,2005-12-26,2024-05-17T05:19:56
44,Julie Barker,tammyabbott@yahoo.com,1941-07-09,2021-07-04T08:55:16
45,Tara Gilbert,scottreynolds@marshall-lambert.org,1940-02-22,2024-08-01T21:35:20
46,Benjamin Estrada,nriley@yahoo.com,1981-10-08,2022-05-30T07:15:52
47,Christine Mathews,jonathon47@walter-wood.biz,1996-04-07,2020-07-15T18:32:05
48,Kari Parker,alexandrahall@gibson.org,1974-04-09,2022-07-30T15:45:41
49,Christine Goodwin,maryrichards@wiley-jackson.com,1994-12-06,2023-04-17T00:19:45
50,Nicholas Rangel,rwoodard@yahoo.com,1987-06-02,2021-01-20T02:32:51
51,Ricky Williams,codycisneros@gmail.com,1997-01-07,2021-03-13T21:51:07
